Ux,Uy,r,s,del,w_rl,w_rr,w_fl,w_fr
30,0,0,2.49,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.52,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.55,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.58,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.61,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.64,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.67,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.7,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.73,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.76,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.79,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.82,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.85,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.88,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.91,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.94,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.97,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.02999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.05999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.08999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.11999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.14999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.17999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.20999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.23999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.26999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.29999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.32999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.35999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.38999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.41999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.44999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.47999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.50999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.53999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,3.56999999999999,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
